lat,lng,row,col
5.9,79.6,0,0
5.9,79.983151,0,1
5.9,80.366302,0,2
5.9,80.749452,0,3
5.9,81.132603,0,4
5.9,81.515754,0,5
5.9,81.898905,0,6
6.28222,79.6,1,0
6.28222,79.983424,1,1
6.28222,80.366847,1,2
6.28222,80.750271,1,3
6.28222,81.133695,1,4
6.28222,81.517118,1,5
6.28222,81.900542,1,6
6.66444,79.6,2,0
6.66444,79.983714,2,1
6.66444,80.367428,2,2
6.66444,80.751142,2,3
6.66444,81.134856,2,4
6.66444,81.51857,2,5
6.66444,81.902284,2,6
7.04666,79.6,3,0
7.04666,79.984022,3,1
7.04666,80.368044,3,2
7.04666,80.752066,3,3
7.04666,81.136087,3,4
7.04666,81.520109,3,5
7.04666,81.904131,3,6
7.42888,79.6,4,0
7.42888,79.984347,4,1
7.42888,80.368695,4,2
7.42888,80.753042,4,3
7.42888,81.137389,4,4
7.42888,81.521737,4,5
7.42888,81.906084,4,6
7.811099,79.6,5,0
7.811099,79.98469,5,1
7.811099,80.369381,5,2
7.811099,80.754071,5,3
7.811099,81.138762,5,4
7.811099,81.523452,5,5
7.811099,81.908143,5,6
8.193319,79.6,6,0
8.193319,79.985051,6,1
8.193319,80.370103,6,2
8.193319,80.755154,6,3
8.193319,81.140206,6,4
8.193319,81.525257,6,5
8.193319,81.910309,6,6
8.575539,79.6,7,0
8.575539,79.98543,7,1
8.575539,80.37086,7,2
8.575539,80.756291,7,3
8.575539,81.141721,7,4
8.575539,81.527151,7,5
8.575539,81.912581,7,6
8.957759,79.6,8,0
8.957759,79.985827,8,1
8.957759,80.371654,8,2
8.957759,80.757481,8,3
8.957759,81.143308,8,4
8.957759,81.529135,8,5
8.957759,81.914962,8,6
9.339979,79.6,9,0
9.339979,79.986242,9,1
9.339979,80.372483,9,2
9.339979,80.758725,9,3
9.339979,81.144967,9,4
9.339979,81.531208,9,5
9.339979,81.91745,9,6
9.722199,79.6,10,0
9.722199,79.986675,10,1
9.722199,80.373349,10,2
9.722199,80.760024,10,3
9.722199,81.146698,10,4
9.722199,81.533373,10,5
9.722199,81.920047,10,6
